日期,开盘价(元),最高价(元),最低价(元),收盘价(元),结算价,成交额(百万),成交量,持仓量
2010-04-16,3450,3488,3413.2,3415.6,3431.2,50538.81,48988,2702
2010-04-19,3396,3398,3166.2,3197.4,3201.2,108206.41,109733,3954
2010-04-20,3209.2,3240,3168.8,3214.6,3216.6,136342.09,141862,4496
2010-04-21,3215,3281.2,3208,3267.2,3266,111267.89,114531,5062
2010-04-22,3260.2,3274.4,3211,3236.2,3240,129629.81,133247,5383
2010-04-23,3241,3266,3221,3221.2,3235.6,113886.82,116981,5808
2010-04-26,3243,3252,3211.8,3219.6,3224.8,108949.73,112229,7079
2010-04-27,3201.2,3205,3107.6,3138.8,3121.8,132007.16,139961,7386
2010-04-28,3101.6,3142.6,3094.2,3129,3132.8,120470.3,128530,7092
2010-04-29,3141,3157.6,3082.2,3083.8,3114.4,109415.65,116254,8705
2010-04-30,3103,3119.6,3043,3107,3089.8,170310.3,184157,8297
2010-05-04,3079.8,3094.4,3060.8,3076.4,3069.4,138591.35,150123,8261
2010-05-05,3046.4,3087,3031,3076.4,3078.6,133493.2,145542,9600
2010-05-06,3078.6,3083.4,2953.6,2967.4,2972.6,154506.81,170221,10150
2010-05-07,2928,2959.8,2862.2,2897.6,2896,209597.9,240106,8282
2010-05-10,2910,2931,2870,2918,2912,175917.2,201919,9873
2010-05-11,2949,2957.8,2797.2,2801.6,2816.4,194325.12,224626,8987
2010-05-12,2809,2855,2782,2836.2,2829.2,231214.06,273131,8144
2010-05-13,2847.8,2915.6,2823,2894.6,2902.8,186684.12,217422,8276
2010-05-14,2880,2894.8,2850.4,2862.6,2861.2,159865.83,185453,6237
2010-05-17,2840,2840.2,2708,2719,2727.6,97865.07,117625,4126
2010-05-18,2711.8,2848,2708.4,2810.4,2818.2,217321.9,261582,11428
2010-05-19,2779.2,2859,2734.2,2784.8,2798,285893.7,340531,12817
2010-05-20,2801,2844.8,2742.2,2763.2,2761.2,245427.28,293133,14774
2010-05-21,2702,2802.8,2677,2801,2789,253016.88,307325,13329
2010-05-24,2814,2933.4,2808,2902,2908.6,260913.84,300512,15770
2010-05-25,2880,2889.2,2811,2813.2,2833.6,247386.08,288927,15644
2010-05-26,2846.2,2878.8,2817.6,2839.6,2829,278374.42,326246,15219
2010-05-27,2825,2909.8,2790,2901.4,2896.4,277922.28,325500,16397
2010-05-28,2930,2942,2853,2865.2,2869.8,266372.94,306690,16764
2010-05-31,2850,2898.8,2786.2,2792,2811.8,288432.46,337678,18662
2010-06-01,2780,2820.6,2732,2762,2760.6,349613.44,420130,17746
2010-06-02,2758,2781.4,2718.2,2776.4,2762,284048.06,343923,18691
2010-06-03,2799.8,2807,2741,2748,2762.8,285871.06,342961,18712
2010-06-04,2740,2767.8,2722.2,2761,2755.6,267206.42,324387,16354
2010-06-07,2700,2718,2680,2706.2,2704.8,234726.78,289681,15673
2010-06-08,2709.8,2726,2683,2724.4,2699.4,182970.96,225087,16526
2010-06-09,2720.4,2808,2700.4,2788.8,2786,258644.96,314559,16740
2010-06-10,2776,2791,2763,2769.6,2772,193539.4,232630,14040
2010-06-11,2788,2796.8,2765,2765.8,2773,141499.45,169575,10034
2010-06-17,2779,2784.4,2743,2744.2,2754.4,24881.3,29949,4417
2010-06-18,2762.4,2779,2705.8,2718.2,2727.4,206537.98,249981,19752
2010-06-21,2749.2,2816.6,2718,2804.8,2809.2,230887.6,277989,21545
2010-06-22,2795.6,2815,2793.2,2797.6,2799.6,185624.42,220831,19828
2010-06-23,2785,2801.6,2743,2765.2,2761.6,198109.24,238316,19132
2010-06-24,2771,2810,2750,2771,2766.8,247888.1,297949,18877
2010-06-25,2759,2772.8,2736,2753.8,2752,206254.42,249654,18599
2010-06-28,2751.6,2763.8,2731.4,2741.6,2738.2,173555.56,210541,20726
2010-06-29,2741.6,2746.8,2598.4,2600.4,2610.4,238816.52,298585,24070
2010-06-30,2580,2593,2563,2579,2573.2,191603.24,247753,21872
2010-07-01,2577.8,2584.6,2535.6,2545.2,2546,187585.06,243922,23657
2010-07-02,2550,2565,2478.8,2546,2543.6,278952.02,367858,24119
2010-07-05,2535,2549.6,2479.6,2530.6,2531.4,271062.94,359351,22692
2010-07-06,2521.4,2585,2511.2,2564.6,2558.4,280310.94,365680,22426
2010-07-07,2558,2582,2546.2,2568.4,2564.8,244524.8,318135,21290
2010-07-08,2591,2599.4,2562,2569,2574.6,197178.5,254951,21332
2010-07-09,2573.2,2668,2563,2650,2652,257431.42,327713,20855
2010-07-12,2652,2693,2647.2,2660.6,2666.2,231451.44,289268,19620
2010-07-13,2651,2653,2618.6,2626,2632,212904.56,269627,14223
2010-07-14,2640,2679.2,2630,2647,2641.6,167221.26,209930,10544
2010-07-15,2650,2738,2608,2610.8,2627.4,313686.58,392898,20498
2010-07-16,2613,2629.8,2588,2620.6,2619.2,282133.92,360667,20799
2010-07-19,2600.2,2715.2,2593.6,2697.6,2691.4,301743.38,379966,23283
2010-07-20,2702,2761,2700.4,2746,2745.2,320947.66,390979,22339
2010-07-21,2749,2758.4,2733.8,2744.4,2744,253796.06,308125,23282
2010-07-22,2740,2785.6,2736.2,2784.4,2774.6,319941.7,385991,24307
2010-07-23,2790,2800.8,2765.2,2783.6,2782.2,272741.82,326508,22706
2010-07-26,2792,2803.2,2769.2,2796.8,2793.8,247139.34,295351,24625
2010-07-27,2797.8,2799.8,2773.6,2778,2782.8,248995.32,298118,23121
2010-07-28,2780.2,2888.6,2775.2,2887.4,2879.2,301227.22,354307,26047
2010-07-29,2888,2896,2862.8,2876.8,2878.6,237012.34,274230,23700
2010-07-30,2873,2880.6,2855.2,2871.4,2869.6,207849.58,241645,22428
2010-08-02,2888.2,2950.8,2880.2,2926.4,2928,252509.08,288420,25621
2010-08-03,2928,2935,2849,2856.8,2884,280584.02,322000,22224
2010-08-04,2859.8,2892,2835,2873.8,2872,329146.16,382739,24218
2010-08-05,2872.8,2880.6,2821.8,2846.4,2843.2,273606.28,319116,21171
2010-08-06,2850,2923.6,2832,2920,2913.8,278041.76,322329,23732
2010-08-09,2917,2932,2891.4,2913,2910.8,252012.1,288638,21326
2010-08-10,2913.2,2920.6,2827.8,2837,2842.8,279905.14,324580,19506
2010-08-11,2839,2873,2825,2839.4,2840,306764.84,359463,18164
2010-08-12,2822,2868.8,2810,2826.8,2822,286777.88,337014,17863
2010-08-13,2826,2862.8,2810.2,2855,2850.8,254563.66,299186,17728
2010-08-16,2849,2943,2843.6,2927.6,2933,234523.34,269722,16892
2010-08-17,2933,2961.8,2928.8,2947,2949.6,155955.06,176759,10563
2010-08-18,2968.6,2988.4,2947.4,2962.2,2964.4,212316.2,238668,24124
2010-08-19,2965,3016,2952.2,2981.6,2984.2,277317.56,310102,28031
2010-08-20,2971.2,2979.6,2911,2921.8,2921.4,282787.58,320487,26394
2010-08-23,2920.6,2938,2896.4,2905.6,2909.4,220896.12,252178,27326
2010-08-24,2898.6,2958.8,2875.4,2914,2922.8,298064.02,340393,26470
2010-08-25,2911,2922,2852.8,2856.4,2863.8,284476.82,328356,26769
2010-08-26,2889.8,2894,2848,2865.8,2858.4,234978.54,273128,27851
2010-08-27,2862,2875,2848.2,2872.6,2867.6,233008.6,271393,25440
2010-08-30,2885,2948.8,2885,2930.2,2928.8,227129.44,258909,27880
2010-08-31,2918,2922,2903,2910.4,2912.4,173520.12,198508,26318
2010-09-01,2925,2956.2,2871.6,2890.2,2882,271274.58,310156,27086
2010-09-02,2920,2949.2,2912.2,2929.2,2927.2,257145.04,292539,25167
2010-09-03,2933,2939.6,2901.4,2933,2924.6,232909.42,265581,23587
2010-09-06,2948,2993.6,2948,2992.2,2984.8,223049.7,250197,26264
2010-09-07,2990,2998,2968.8,2996.6,2988.2,185016.92,206604,27242
2010-09-08,2987,2998.6,2972,2995.2,2991,172844.1,193194,26107
2010-09-09,3004,3006.8,2935.6,2947.6,2945.8,217388.76,244478,24059
2010-09-10,2955,2956,2914,2940.6,2943.4,191514.22,217296,24624
2010-09-13,2952,2983.8,2935.6,2967.4,2968.4,183535.76,206588,22149
2010-09-14,2969.8,2995,2956,2966.8,2968.8,193580.18,216894,16737
