Trddt,Agmtcd,Trdvar,Exhcd,Deldt,Opnprc,Hiprc,Loprc,Clsprc,Stprc,Ystprc,Updown1,Updown2,volume,Opint,Yopint,chopint,Turnover
2010/4/16,IF1005,沪深300指数期货,CFFEX,2010/5/21,3450,3488,3413.2,3415.6,3431.2,3399,16.6,32.2,48988,2702,0,2702,5053880.532
2010/4/19,IF1005,沪深300指数期货,CFFEX,2010/5/21,3396,3398,3166.2,3197.4,3201.2,3431.2,-233.8,-230,109733,3954,2702,1252,10820641.22
2010/4/20,IF1005,沪深300指数期货,CFFEX,2010/5/21,3209.2,3240,3168.8,3214.6,3216.6,3201.2,13.4,15.4,141862,4496,3954,542,13634209.03
2010/4/21,IF1005,沪深300指数期货,CFFEX,2010/5/21,3215,3281.2,3208,3267.2,3266,3216.6,50.6,49.4,114531,5062,4496,566,11126789.49
2010/4/22,IF1005,沪深300指数期货,CFFEX,2010/5/21,3260.2,3274.4,3211,3236.2,3240,3266,-29.8,-26,133247,5383,5062,321,12962980.76
2010/4/23,IF1005,沪深300指数期货,CFFEX,2010/5/21,3241,3266,3221,3221.2,3235.6,3240,-18.8,-4.4,116981,5808,5383,425,11388681.53
2010/4/26,IF1005,沪深300指数期货,CFFEX,2010/5/21,3243,3252,3211.8,3219.6,3224.8,3235.6,-16,-10.8,112229,7079,5808,1271,10894972.78
2010/4/27,IF1005,沪深300指数期货,CFFEX,2010/5/21,3201.2,3205,3107.6,3138.8,3121.8,3224.8,-86,-103,139961,7386,7079,307,13200716.02
2010/4/28,IF1005,沪深300指数期货,CFFEX,2010/5/21,3101.6,3142.6,3094.2,3129,3132.8,3121.8,7.2,11,128530,7092,7386,-294,12047029.9
2010/4/29,IF1005,沪深300指数期货,CFFEX,2010/5/21,3141,3157.6,3082.2,3083.8,3114.4,3132.8,-49,-18.4,116254,8705,7092,1613,10941565.38
2010/4/30,IF1005,沪深300指数期货,CFFEX,2010/5/21,3103,3119.6,3043,3107,3089.8,3114.4,-7.4,-24.6,184157,8297,8705,-408,17031030.16
2010/5/4,IF1005,沪深300指数期货,CFFEX,2010/5/21,3079.8,3094.4,3060.8,3076.4,3069.4,3089.8,-13.4,-20.4,150123,8261,8297,-36,13859134.76
2010/5/5,IF1005,沪深300指数期货,CFFEX,2010/5/21,3046.4,3087,3031,3076.4,3078.6,3069.4,7,9.2,145542,9600,8261,1339,13349319.84
2010/5/6,IF1005,沪深300指数期货,CFFEX,2010/5/21,3078.6,3083.4,2953.6,2967.4,2972.6,3078.6,-111.2,-106,170221,10150,9600,550,15450680.86
2010/5/7,IF1005,沪深300指数期货,CFFEX,2010/5/21,2928,2959.8,2862.2,2897.6,2896,2972.6,-75,-76.6,240106,8282,10150,-1868,20959790.5
2010/5/10,IF1005,沪深300指数期货,CFFEX,2010/5/21,2910,2931,2870,2918,2912,2896,22,16,201919,9873,8282,1591,17591719.76
2010/5/11,IF1005,沪深300指数期货,CFFEX,2010/5/21,2949,2957.8,2797.2,2801.6,2816.4,2912,-110.4,-95.6,224626,8987,9873,-886,19432511.24
2010/5/12,IF1005,沪深300指数期货,CFFEX,2010/5/21,2809,2855,2782,2836.2,2829.2,2816.4,19.8,12.8,273131,8144,8987,-843,23121405.52
2010/5/13,IF1005,沪深300指数期货,CFFEX,2010/5/21,2847.8,2915.6,2823,2894.6,2902.8,2829.2,65.4,73.6,217422,8276,8144,132,18668412.41
2010/5/14,IF1005,沪深300指数期货,CFFEX,2010/5/21,2880,2894.8,2850.4,2862.6,2861.2,2902.8,-40.2,-41.6,185453,6237,8276,-2039,15986582.59
2010/5/17,IF1005,沪深300指数期货,CFFEX,2010/5/21,2840,2840.2,2708,2719,2727.6,2861.2,-142.2,-133.6,117625,4126,6237,-2111,9786506.88
2010/5/18,IF1005,沪深300指数期货,CFFEX,2010/5/21,2717,2808,2703,2779,2779.6,2727.6,51.4,52,40298,1924,4126,-2202,3312206.604
2010/5/19,IF1005,沪深300指数期货,CFFEX,2010/5/21,2762.2,2808.8,2722.6,2763.4,2767.2,2779.6,-16.2,-12.4,14913,1159,1924,-765,1238280.132
