Indexcd,Idxtrd01,Idxtrd02,Idxtrd03,Idxtrd04,Idxtrd05,Idxtrd06,Idxtrd07,Idxtrd08
300,2015/1/5,3566.09,3669.04,3551.51,3641.54,4511980.98,51984981.74,3.0516
300,2015/1/6,3608.43,3683.23,3587.23,3641.06,4209621.85,49852958.83,-0.0132
300,2015/1/7,3620.92,3671.19,3601.7,3643.79,3201912.32,39873172.05,0.075
300,2015/1/8,3650.07,3659.95,3552.1,3559.26,2950030.45,35583196.73,-2.3199
300,2015/1/9,3547.57,3689.75,3536.4,3546.72,3499826.72,43021059.23,-0.3522
300,2015/1/12,3531.52,3560.53,3461.32,3513.58,2665671.75,33425713.31,-0.9346
300,2015/1/13,3506.45,3550.16,3494.77,3514.04,1871539.65,25079667.61,0.0132
300,2015/1/14,3522.91,3547.24,3471.56,3502.42,1960125.1,24128583.75,-0.3306
300,2015/1/15,3501.72,3604.12,3482.27,3604.12,2378123.38,30344535.11,2.9036
300,2015/1/16,3616.25,3662.16,3601.26,3635.15,2826816.14,35556871.07,0.8608
300,2015/1/19,3414.01,3497.25,3330.98,3355.16,3295052.75,36601753.21,-7.7023
300,2015/1/20,3336.79,3419.2,3325.68,3396.22,2978432.32,38191790.38,1.224
300,2015/1/21,3420.49,3557.79,3409.43,3548.89,3379282.1,42543370.43,4.4951
300,2015/1/22,3551.05,3576.76,3520.05,3567.61,2688535.99,34502604.1,0.5277
300,2015/1/23,3582.09,3627.81,3548.63,3571.73,2801721.72,36183554.64,0.1155
300,2015/1/26,3580.12,3611.62,3559.38,3607.99,2397662.03,30958571.01,1.015
300,2015/1/27,3614.04,3616.26,3510.02,3574.93,2876691.79,35754824.96,-0.9161
300,2015/1/28,3547.24,3583.31,3512.39,3525.32,2162202.14,27874916.49,-1.3877
300,2015/1/29,3474.92,3505.58,3453.9,3481.8,2116188.6,25189792.64,-1.2346
300,2015/1/30,3496.89,3514.22,3431.94,3434.39,1964791.57,23742079.39,-1.3616
300,2015/2/2,3360.19,3407.26,3347.09,3353.96,1951836.99,22483776.99,-2.3419
300,2015/2/3,3388.6,3441.71,3360.72,3437.45,1928460.96,24110002.32,2.4891
300,2015/2/4,3446.14,3476.82,3399.57,3401.77,1913043.49,24403429.72,-1.0379
300,2015/2/5,3487.95,3487.95,3366.86,3366.95,2504306.09,31152366.92,-1.0236
300,2015/2/6,3352.33,3374.05,3285.94,3312.42,1926641.86,22143318.34,-1.6194
300,2015/2/9,3305.73,3376.53,3298.6,3345.92,1723538.2,22076652.5,1.0114
